no,name,심평원 평가,학회 인증,address,phone,region,type,dialysis_machines,has_dialysis_unit,night_dialysis,dialysis_days,naver_map_url,kakao_map_url,lat,lng,coord_source,updated_at,hira_grade,ksn_certified,ksn_cert_date,specialist_count,specialists,nephrology_doctor,is_dialysis_specialist
1,(의)열린의료재단 예인의원,O,#N/A (),"서울특별시 강서구 양천로 366, 5,6층 (가양동, 미라클빌딩)",02-3661-7582,서울,병원/의원,35,1,0,,https://map.naver.com/v5/search/%28%EC%9D%98%29%EC%97%B4%EB%A6%B0%EC%9D%98%EB%A3%8C%EC%9E%AC%EB%8B%A8%20%EC%98%88%EC%9D%B8%EC%9D%98%EC%9B%90,https://map.kakao.com/?q=%28%EC%9D%98%29%EC%97%B4%EB%A6%B0%EC%9D%98%EB%A3%8C%EC%9E%AC%EB%8B%A8%20%EC%98%88%EC%9D%B8%EC%9D%98%EC%9B%90,37.5672569,126.8429031,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-02-16,2,"김화정,김수민","김화정,김수민",1
2,(의)영문의료재단 다보스병원,O,#N/A (),"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",031-8021-2114,경기,병원/의원,38,1,0,,https://map.naver.com/v5/search/%28%EC%9D%98%29%EC%98%81%EB%AC%B8%EC%9D%98%EB%A3%8C%EC%9E%AC%EB%8B%A8%20%EB%8B%A4%EB%B3%B4%EC%8A%A4%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%28%EC%9D%98%29%EC%98%81%EB%AC%B8%EC%9D%98%EB%A3%8C%EC%9E%AC%EB%8B%A8%20%EB%8B%A4%EB%B3%B4%EC%8A%A4%EB%B3%91%EC%9B%90,37.2314882,127.2114647,Naver Map Search,2026-05-27 17:18:10,1등급,미인증,2025-10-30,2,"배성창,김대규","배성창,김대규",1
3,가톨릭관동대학교 국제성모병원,O,#N/A (),"인천광역시 서구 심곡로100번길 25-0, 인천국제성모병원",032-1600-8291,인천,병원/의원,57,1,0,,https://map.naver.com/v5/search/%EA%B0%80%ED%86%A8%EB%A6%AD%EA%B4%80%EB%8F%99%EB%8C%80%ED%95%99%EA%B5%90%20%EA%B5%AD%EC%A0%9C%EC%84%B1%EB%AA%A8%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B0%80%ED%86%A8%EB%A6%AD%EA%B4%80%EB%8F%99%EB%8C%80%ED%95%99%EA%B5%90%20%EA%B5%AD%EC%A0%9C%EC%84%B1%EB%AA%A8%EB%B3%91%EC%9B%90,37.5424164,126.6836102,Naver Map Search,2026-05-27 17:18:10,1등급,미인증,,0,,,0
4,가톨릭대학교 성빈센트병원,O,O,"경기도 수원시 팔달구 중부대로 93, (지동)",031-1577-8588,경기,병원/의원,77,1,0,,https://map.naver.com/v5/search/%EA%B0%80%ED%86%A8%EB%A6%AD%EB%8C%80%ED%95%99%EA%B5%90%20%EC%84%B1%EB%B9%88%EC%84%BC%ED%8A%B8%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B0%80%ED%86%A8%EB%A6%AD%EB%8C%80%ED%95%99%EA%B5%90%20%EC%84%B1%EB%B9%88%EC%84%BC%ED%8A%B8%EB%B3%91%EC%9B%90,37.2779855,127.0274271,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2025-07-23,2,"김형욱,김형래","김형욱,김용균,김형래",1
5,가톨릭대학교 은평성모병원,O,X,"서울특별시 은평구 통일로 1021, (진관동)",02-1811-7755,서울,병원/의원,35,1,0,,https://map.naver.com/v5/search/%EA%B0%80%ED%86%A8%EB%A6%AD%EB%8C%80%ED%95%99%EA%B5%90%20%EC%9D%80%ED%8F%89%EC%84%B1%EB%AA%A8%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B0%80%ED%86%A8%EB%A6%AD%EB%8C%80%ED%95%99%EA%B5%90%20%EC%9D%80%ED%8F%89%EC%84%B1%EB%AA%A8%EB%B3%91%EC%9B%90,37.6334945,126.9161912,Naver Map Search,2026-05-27 17:18:10,1등급,미인증,2026-03-25,2,"반태현,김형덕","반태현,김병수,최범순,김형덕,김성미",1
6,가톨릭대학교부천성모병원,O,#N/A (),"경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",032-1577-0675,경기,병원/의원,29,1,0,,https://map.naver.com/v5/search/%EA%B0%80%ED%86%A8%EB%A6%AD%EB%8C%80%ED%95%99%EA%B5%90%EB%B6%80%EC%B2%9C%EC%84%B1%EB%AA%A8%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B0%80%ED%86%A8%EB%A6%AD%EB%8C%80%ED%95%99%EA%B5%90%EB%B6%80%EC%B2%9C%EC%84%B1%EB%AA%A8%EB%B3%91%EC%9B%90,37.4871165,126.7924167,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-03-28,4,"민지원,고은정,강동혁,윤소정","민지원,고은정,강동혁,윤소정",1
7,가톨릭대학교인천성모병원,O,#N/A (),"인천광역시 부평구 동수로 56, (부평동)",032-1544-9004,인천,병원/의원,61,1,0,,https://map.naver.com/v5/search/%EA%B0%80%ED%86%A8%EB%A6%AD%EB%8C%80%ED%95%99%EA%B5%90%EC%9D%B8%EC%B2%9C%EC%84%B1%EB%AA%A8%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B0%80%ED%86%A8%EB%A6%AD%EB%8C%80%ED%95%99%EA%B5%90%EC%9D%B8%EC%B2%9C%EC%84%B1%EB%AA%A8%EB%B3%91%EC%9B%90,37.4848309,126.7248987,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-01-29,5,"신석준,음상훈,나도현,채승윤,류세영","신석준,음상훈,나도현,채승윤,류세영",1
8,강동경희대학교병원,O,O,"서울특별시 강동구 동남로 892, (상일동)",02-440-7114,서울,병원/의원,44,1,0,,https://map.naver.com/v5/search/%EA%B0%95%EB%8F%99%EA%B2%BD%ED%9D%AC%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B0%95%EB%8F%99%EA%B2%BD%ED%9D%AC%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,#N/A (),#N/A (),Naver Map Search,2026-05-27 17:18:10,1등급,인증,2025-10-13,3,"문주영,김양균,정수웅","이상호,문주영,김양균,정수웅",1
9,강릉아산병원,O,#N/A (),"강원특별자치도 강릉시 사천면 방동길 38-0, 강릉아산병원",033-610-3114,강원,병원/의원,53,1,0,,https://map.naver.com/v5/search/%EA%B0%95%EB%A6%89%EC%95%84%EC%82%B0%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B0%95%EB%A6%89%EC%95%84%EC%82%B0%EB%B3%91%EC%9B%90,37.8184325,128.8578411,Naver Map Search,2026-05-27 17:18:10,1등급,미인증,,0,,,0
10,강북삼성병원,O,#N/A (),"서울특별시 종로구 새문안로 29, (평동)",02-2001-2001,서울,병원/의원,34,1,0,,https://map.naver.com/v5/search/%EA%B0%95%EB%B6%81%EC%82%BC%EC%84%B1%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B0%95%EB%B6%81%EC%82%BC%EC%84%B1%EB%B3%91%EC%9B%90,37.5684083,126.96775,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-02-23,3,"현영율,이규백,양지현","현영율,이규백,양지현,김유정,이주영",1
11,강원대학교병원,O,O,"강원특별자치도 춘천시 백령로 156, (효자동)",033-258-2000,강원,병원/의원,54,1,0,,https://map.naver.com/v5/search/%EA%B0%95%EC%9B%90%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,https://map.kakao.com/?q=%EA%B0%95%EC%9B%90%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90,37.8751611,127.7448909,Naver Map Search,2026-05-27 17:18:10,1등급,인증,2026-01-09,4,"백현정,박지인,이선화,손성민","정해혁,백현정,박지인,이선화,손성민",1
